Date,Route,Total trips
1/3/2023,8,477
1/3/2023,32,1288
1/3/2023,30,825
1/3/2023,197,339
1/3/2023,84,1039
1/3/2023,181,1545
1/3/2023,120,831
1/3/2023,816,318
1/3/2023,153,683
1/3/2023,117,1584
1/3/2023,21,1923
1/3/2023,25,518
1/3/2023,825,91
1/3/2023,14,578
1/3/2023,5,2513
1/3/2023,142,21
1/3/2023,185,634
1/3/2023,24,306
1/3/2023,3,359
1/3/2023,132,419
1/3/2023,40,717
1/3/2023,55,1109
1/3/2023,75,1072
1/3/2023,119,1548
1/3/2023,79,507
1/3/2023,104,580
1/3/2023,148,24
1/3/2023,856,228
1/3/2023,102,2354
1/3/2023,133,385
1/3/2023,12,1249
1/3/2023,111,1812
1/3/2023,221,0
1/3/2023,60,1445
1/3/2023,867,590
1/3/2023,121,2529
1/3/2023,195,596
1/3/2023,192,1106
1/3/2023,27,632
1/3/2023,36,805
1/3/2023,850,430
1/3/2023,813,284
1/3/2023,82,1154
1/3/2023,107,1245
1/3/2023,37,640
1/3/2023,143,167
1/3/2023,865,383
1/3/2023,78,2420
1/3/2023,183,412
1/3/2023,114,567
1/3/2023,198,85
1/3/2023,68,900
1/3/2023,103,599
1/3/2023,823,29
1/3/2023,125,1829
1/3/2023,141,719
1/3/2023,34,140
1/3/2023,178,761
1/3/2023,2,1454
1/3/2023,186,1484
1/3/2023,295,14
1/3/2023,126,610
1/3/2023,94,1376
1/3/2023,50,2165
1/3/2023,853,442
1/3/2023,155,804
1/3/2023,42,793
1/3/2023,47,743
1/4/2023,899,347
1/4/2023,126,641
1/4/2023,39,3586
1/4/2023,86,2001
1/4/2023,186,1675
1/4/2023,25,401
1/4/2023,9,398
1/4/2023,19,807
1/4/2023,58,408
1/4/2023,194,752
1/4/2023,853,195
1/4/2023,110,2167
1/4/2023,87,662
1/4/2023,111,1573
1/4/2023,856,243
1/4/2023,125,1863
1/4/2023,75,976
1/4/2023,181,1226
1/4/2023,189,885
1/4/2023,188,321
1/4/2023,83,2156
1/4/2023,813,243
1/4/2023,104,253
1/4/2023,94,1284
1/4/2023,37,535
1/4/2023,107,1617
1/4/2023,68,604
1/4/2023,102,1667
1/4/2023,60,1685
1/4/2023,119,1431
1/4/2023,79,486
1/4/2023,51,2609
1/4/2023,42,1011
1/4/2023,117,1382
1/4/2023,2,1252
1/4/2023,823,39
1/4/2023,24,282
1/4/2023,180,681
1/4/2023,165,1714
1/4/2023,195,562
1/4/2023,89,2177
1/4/2023,143,123
1/4/2023,816,278
1/4/2023,295,11
1/4/2023,140,492
1/4/2023,809,469
1/4/2023,121,2315
1/4/2023,832,92
1/4/2023,12,1229
1/4/2023,4,844
1/4/2023,73,2500
1/4/2023,40,1062
1/4/2023,1,454
1/4/2023,153,623
1/4/2023,66,741
1/4/2023,74,601
1/4/2023,3,289
1/4/2023,183,404
1/4/2023,84,1130
1/4/2023,14,444
1/4/2023,150,56
1/4/2023,34,348
1/4/2023,93,893
1/4/2023,21,2005
1/4/2023,120,828
1/4/2023,5,2448
1/4/2023,191,807
1/4/2023,185,599
1/4/2023,95,1288
1/4/2023,155,680
1/4/2023,71,1767
1/4/2023,78,2445
1/4/2023,50,1395
1/4/2023,30,850
1/4/2023,115,2560
1/4/2023,26,305
1/4/2023,192,1272
1/4/2023,6,697
1/4/2023,114,591
1/4/2023,132,184
1/4/2023,221,225
1/4/2023,124,912
1/4/2023,47,482
1/4/2023,172,1257
1/4/2023,198,113
1/4/2023,85,538
1/4/2023,162,1017
1/4/2023,141,736
1/4/2023,32,1048
1/4/2023,103,564
1/4/2023,55,1315
1/4/2023,850,408
1/4/2023,865,311
1/4/2023,8,457
1/4/2023,133,501
1/4/2023,193,1903
1/4/2023,196,2399
1/4/2023,81,1315
1/4/2023,36,813
1/4/2023,142,41
1/4/2023,178,631
1/4/2023,197,372
1/4/2023,49,1563
1/4/2023,82,999
1/4/2023,27,440
1/4/2023,15,2074
1/4/2023,116,1882
1/4/2023,867,565
1/4/2023,825,17
1/5/2023,121,2958
1/5/2023,39,4440
1/5/2023,899,228
1/5/2023,143,177
1/5/2023,800,186
1/5/2023,95,1575
1/5/2023,295,28
1/5/2023,103,572
1/5/2023,4,774
1/5/2023,19,896
1/5/2023,32,1166
1/5/2023,84,1291
1/5/2023,180,797
1/5/2023,34,393
1/5/2023,823,25
1/5/2023,117,1782
1/5/2023,123,180
1/5/2023,186,2798
1/5/2023,79,710
1/5/2023,27,451
1/5/2023,107,1412
1/5/2023,30,708
1/5/2023,89,2653
1/5/2023,51,2861
1/5/2023,185,839
1/5/2023,102,1955
1/5/2023,9,481
1/5/2023,24,187
1/5/2023,74,742
1/5/2023,140,459
1/5/2023,120,1411
1/5/2023,198,163
1/5/2023,71,1868
1/5/2023,816,316
1/5/2023,850,514
1/5/2023,37,818
1/5/2023,132,400
1/5/2023,6,813
1/5/2023,104,551
1/5/2023,221,259
1/5/2023,150,91
1/5/2023,853,351
1/5/2023,58,576
1/5/2023,142,78
1/5/2023,1,545
1/5/2023,12,1387
1/5/2023,111,2040
1/5/2023,856,436
1/5/2023,867,2057
1/5/2023,153,818
1/5/2023,194,502
1/5/2023,66,900
1/5/2023,26,646
1/5/2023,165,1812
1/5/2023,15,2107
1/5/2023,193,2001
1/5/2023,183,498
1/5/2023,192,1098
1/5/2023,82,1173
1/5/2023,93,1004
1/5/2023,40,841
1/5/2023,125,2076
1/5/2023,5,2815
1/5/2023,178,423
1/5/2023,114,774
1/5/2023,60,1783
1/5/2023,83,2936
1/5/2023,115,3375
1/5/2023,47,756
1/5/2023,188,339
1/5/2023,809,466
1/5/2023,148,61
1/5/2023,50,1918
1/5/2023,195,764
1/5/2023,865,395
1/5/2023,126,715
1/5/2023,141,759
1/5/2023,813,316
1/5/2023,197,613
1/5/2023,189,1047
1/5/2023,87,972
1/5/2023,14,592
1/5/2023,78,2477
1/5/2023,25,385
1/5/2023,196,2361
1/5/2023,81,1239
1/5/2023,119,1314
1/5/2023,68,1062
1/5/2023,86,2387
1/5/2023,73,3067
1/5/2023,85,587
1/5/2023,36,1095
1/5/2023,155,1079
1/5/2023,124,988
1/5/2023,133,454
1/5/2023,172,1554
1/5/2023,94,864
1/5/2023,181,1712
1/5/2023,42,1457
1/5/2023,116,2101
1/5/2023,49,1181
1/5/2023,825,23
1/5/2023,832,341
1/5/2023,21,2941
1/5/2023,191,784
1/5/2023,2,1364
1/5/2023,8,487
1/5/2023,162,746
1/5/2023,55,1452
1/5/2023,110,2237
1/6/2023,180,699
1/6/2023,6,813
1/6/2023,87,769
1/6/2023,133,497
1/6/2023,865,362
1/6/2023,110,2222
1/6/2023,51,3543
1/6/2023,4,787
1/6/2023,30,850
1/6/2023,123,246
1/6/2023,899,221
1/6/2023,32,1036
1/6/2023,117,1553
1/6/2023,867,580
1/6/2023,103,584
1/6/2023,181,1578
1/6/2023,19,762
1/6/2023,120,1072
1/6/2023,172,1335
1/6/2023,89,2758
1/6/2023,823,67
1/6/2023,198,168
1/6/2023,55,1434
1/6/2023,856,189
1/6/2023,26,924
1/6/2023,140,525
1/6/2023,800,187
1/6/2023,71,1760
1/6/2023,81,1143
1/6/2023,104,360
1/6/2023,126,847
1/6/2023,162,1068
1/6/2023,85,465
1/6/2023,809,460
1/6/2023,74,658
1/6/2023,75,1056
1/6/2023,183,335
1/6/2023,119,1460
1/6/2023,25,394
1/6/2023,102,2025
1/6/2023,73,2891
1/6/2023,47,849
1/6/2023,84,1196
1/6/2023,27,471
1/6/2023,813,320
1/6/2023,14,607
1/6/2023,49,986
1/6/2023,197,426
1/6/2023,196,2579
1/6/2023,5,3008
1/6/2023,83,3097
1/6/2023,850,496
1/6/2023,78,1711
1/6/2023,1,541
1/6/2023,194,790
1/6/2023,116,2030
1/6/2023,195,584
1/6/2023,832,226
1/6/2023,189,1072
1/6/2023,153,830
1/6/2023,34,405
1/6/2023,191,964
1/6/2023,37,728
1/6/2023,148,41
1/6/2023,221,341
1/6/2023,121,2599
1/6/2023,115,3282
1/6/2023,9,515
1/6/2023,2,1323
1/6/2023,68,1003
1/6/2023,178,644
1/6/2023,185,919
1/6/2023,93,777
1/6/2023,50,1380
1/6/2023,150,0
1/6/2023,816,189
1/6/2023,12,1320
1/6/2023,42,1253
1/6/2023,188,186
1/6/2023,853,513
1/6/2023,155,933
1/6/2023,142,84
1/6/2023,82,1135
1/6/2023,3,272
1/6/2023,186,1812
1/6/2023,125,1938
1/6/2023,124,947
1/6/2023,58,600
1/6/2023,94,1208
1/6/2023,66,589
1/6/2023,36,594
1/6/2023,40,713
1/6/2023,21,1875
1/6/2023,143,122
1/6/2023,141,739
1/6/2023,86,1985
1/6/2023,165,2186
1/6/2023,15,1870
1/6/2023,111,1753
1/6/2023,114,659
1/6/2023,24,358
1/6/2023,8,346
1/6/2023,132,388
1/6/2023,79,557
1/6/2023,193,2169
1/6/2023,295,0
1/6/2023,107,1582
1/6/2023,60,1715
1/6/2023,192,765
1/6/2023,95,1516
1/6/2023,39,5331
1/7/2023,124,573
1/7/2023,30,497
1/7/2023,15,1380
1/7/2023,89,1703
1/7/2023,121,1730
1/7/2023,34,325
1/7/2023,40,322
1/7/2023,85,477
1/7/2023,809,349
1/7/2023,198,73
1/7/2023,195,445
1/7/2023,183,340
1/7/2023,26,539
1/7/2023,185,508
1/7/2023,3,260
1/7/2023,800,117
1/7/2023,32,1036
1/7/2023,2,1353
1/7/2023,82,796
1/7/2023,27,210
1/7/2023,197,372
1/7/2023,133,379
1/7/2023,68,646
1/7/2023,47,592
1/7/2023,116,1410
1/7/2023,813,188
1/7/2023,117,1272
1/7/2023,162,283
1/7/2023,75,425
1/7/2023,60,1235
1/7/2023,14,433
1/7/2023,24,188
1/7/2023,8,272
1/7/2023,188,37
1/7/2023,193,1054
1/7/2023,102,1747
1/7/2023,6,486
1/7/2023,186,1209
1/7/2023,79,495
1/7/2023,853,391
1/7/2023,125,1227
1/7/2023,816,20
1/7/2023,850,290
1/7/2023,192,979
1/7/2023,856,182
1/7/2023,78,1772
1/7/2023,86,1550
1/7/2023,84,804
1/7/2023,73,1389
1/7/2023,58,459
1/7/2023,140,324
1/7/2023,178,521
1/7/2023,132,276
1/7/2023,165,1260
1/7/2023,83,2282
1/7/2023,42,525
1/7/2023,95,822
1/7/2023,1,261
1/7/2023,126,519
1/7/2023,71,1124
1/7/2023,141,595
1/7/2023,107,992
1/7/2023,81,943
1/7/2023,94,332
1/7/2023,36,504
1/7/2023,9,71
1/7/2023,87,627
1/7/2023,5,1700
1/7/2023,104,348
1/7/2023,194,599
1/7/2023,21,1953
1/7/2023,153,531
1/7/2023,103,384
1/7/2023,181,881
1/7/2023,19,543
1/7/2023,39,3974
1/7/2023,180,447
1/7/2023,114,389
1/7/2023,196,945
1/7/2023,823,34
1/7/2023,189,698
1/7/2023,120,808
1/7/2023,115,2080
1/7/2023,899,122
1/7/2023,93,616
1/7/2023,110,1418
1/7/2023,119,1061
1/7/2023,191,725
1/7/2023,111,1069
1/7/2023,865,215
1/7/2023,51,1654
1/7/2023,12,729
1/7/2023,867,301
1/7/2023,25,365
1/7/2023,832,164
1/7/2023,155,677
1/7/2023,150,33
1/7/2023,50,745
1/7/2023,55,979
1/7/2023,172,1149
1/7/2023,49,721
1/7/2023,66,438
1/7/2023,4,633
1/8/2023,68,493
1/8/2023,36,390
1/8/2023,117,1079
1/8/2023,1,282
1/8/2023,816,99
1/8/2023,104,260
1/8/2023,89,1548
1/8/2023,172,818
1/8/2023,51,1763
1/8/2023,39,3298
1/8/2023,125,932
1/8/2023,196,1373
1/8/2023,93,518
