OBJECTID,shape_id,OBJECTID_1,route_id,trip_id,shape_id_1,OBJECTID_12,route_id_1,route_short_name,route_long_name,route_type,route_color,Shape__Length
1241,109345,,7689,6665574,,,,102,North Avenue / Little Five Points,3,819FF7,0.0717309255608221
1242,109346,,7725,6632698,,,,189,Flat Shoals Road / Scofield Road,3,819FF7,0.180163125868577
1243,109347,,7688,6689703,,,,816,North Highland Avenue,3,819FF7,0.1202121750464
1244,109348,,7665,6642322,,,,55,Jonesboro Road,3,819FF7,0.198043329959625
1245,109349,,7695,6632561,,,,111,Snapfinger Woods,3,819FF7,0.29478841883658
1246,109350,,7701,6661858,,,,120,East Ponce De Leon Avenue,3,819FF7,0.120730372526508
1247,109351,,7710,6633366,,,,143,Windward Park & Ride,3,819FF7,0.21000388268341
1248,109352,,7710,6639988,,,,143,Windward Park & Ride,3,819FF7,0.280670507685392
1249,109353,,7636,6659743,,,,3,Martin Luther King Jr Dr/Auburn Ave,3,819FF7,0.114624599342177
1250,109354,,7663,6642308,,,,51,Joseph E Boone Boulevard,3,819FF7,0.110256656193793
1251,109355,,7680,6693357,,,,83,Campbellton Road,3,819FF7,0.103365006988863
1252,109356,,7716,6688924,,,,165,Fairburn Road,3,819FF7,0.118692541157851
1253,109359,,7647,6655925,,,,21,Memorial Drive,3,819FF7,0.0850773120500577
1254,109360,,7738,6688217,,,,40,Peachtree Street / Downtown,3,819FF7,0.0837221704973631
1255,109361,,7663,6689588,,,,51,Joseph E Boone Boulevard,3,819FF7,0.110214621578191
1256,109362,,7714,6670612,,,,155,Pittsburgh,3,819FF7,0.102746146646507
1257,109363,,7666,6675186,,,,856,Baker Hills / Wilson Mill Meadows,3,819FF7,0.0919426911773198
1258,109364,,11842,6644209,,,,899,Old Fourth Ward,3,819FF7,0.0670921214014561
1259,109365,,7644,6664583,,,,15,Candler Road,3,819FF7,0.184576733117319
1260,109366,,7678,6642646,,,,81,Venetian Hills / Delowe Drive,3,819FF7,0.184224640171682
