Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1350615,M And F 2479 Llc  ,Convenience Store,2749,Flat Shoals Rd, ,Atlanta,GA,30349,4802,CLAYTON,33.58577,-84.48071,3/8/2019,11/20/2019
1164296,Mandy Market  ,Small Grocery Store,1846,Godby Rd, ,Atlanta,GA,30349,5236,CLAYTON,33.61342,-84.44991,10/8/2014,4/11/2019
1384005,Neighborhood Food Mart  ,Convenience Store,2749,Flat Shoals Rd, ,Atlanta,GA,30349,4802,CLAYTON,33.58604,-84.48096,12/3/2019,5/9/2022
1502360,Neighborhood Food Mart  ,Convenience Store,2749,Flat Shoals Rd,,Atlanta,GA,30349,4802,CLAYTON,33.58604,-84.48098,6/1/2022, 
922659,New Life  ,Combination Grocery/Other,674,Mt. Zion Road,Suite F,Atlanta,GA,30236, ,CLAYTON,33.67294,-84.40843,9/18/2010,5/12/2011
1139815,Olde Savannah Seafood Co  ,Combination Grocery/Other,5611,W Fayetteville Rd,Ste 112,Atlanta,GA,30349,7540,CLAYTON,33.60286,-84.44637,4/30/2014,12/9/2014
1114163,One Stop Food Mart  ,Large Grocery Store,5445,Riverdale Rd, ,Atlanta,GA,30349,6193,CLAYTON,33.60685,-84.43575,9/12/2013,5/17/2016
1244190,One Stop Food Mart  ,Convenience Store,5445,Riverdale Rd,,Atlanta,GA,30349,6193,CLAYTON,33.60695,-84.43576,6/15/2016,2/19/2021
1577165,One Stop Food Mart  ,Convenience Store,5445,Riverdale Rd,,Atlanta,GA,30349,6193,CLAYTON,33.60688,-84.4372,2/1/2024,3/3/2025
1637459,One Stop Food Mart  ,Convenience Store,5445,Riverdale Rd,,Atlanta,GA,30349,6193,CLAYTON,33.60657,-84.43763,3/28/2025, 
1150863,"One Stop Seafood Market, LLC  ",Combination Grocery/Other,2051,Godby Rd, ,Atlanta,GA,30349,5192,CLAYTON,33.61558,-84.45597,9/15/2014,9/26/2016
692057,QUIKTRIP 724,Convenience Store,5390,Riverdale Rd, ,Atlanta,GA,30349,5710,CLAYTON,33.60837,-84.43598,3/2/2007,4/9/2008
692057,QUIKTRIP 724,Convenience Store,5390,Riverdale Rd, ,Atlanta,GA,30349,5710,CLAYTON,33.60837,-84.43598,7/27/2010, 
1348967,Ruta Inc  ,Convenience Store,5209,W Fayetteville Rd, ,Atlanta,GA,30349,5580,CLAYTON,33.61339,-84.44893,3/7/2019, 
800824,SAUL'S FRESH FISH & SEAFOOD  ,Small Grocery Store,283,HWY 138,SUITE A-2,Atlanta,GA,30274, ,CLAYTON,33.54296,-84.40013,10/23/2006,7/30/2007
1261930,Shop & Go  ,Convenience Store,6009,Riverdale Rd, ,Atlanta,GA,30349,6205,CLAYTON,33.59144,-84.42819,11/16/2016,7/16/2017
1200464,Sun Food Market  ,Convenience Store,5280,Riverdale Rd, ,Atlanta,GA,30349,5712,CLAYTON,33.6112,-84.43657,8/13/2015, 
1172047,Super Giant Mart  ,Large Grocery Store,5658,Riverdale Rd,Ste M,Atlanta,GA,30349,7316,CLAYTON,33.6002,-84.42897,10/23/2014,1/6/2020
1000789,TEXACO FOOD MART  ,Convenience Store,5208,W Fayetteville Rd, ,Atlanta,GA,30349,5414,CLAYTON,33.61338,-84.44881,5/10/2011,3/1/2016
1239853,Texaco Food Mart  ,Convenience Store,5209,W Fayetteville Rd, ,Atlanta,GA,30349,5580,CLAYTON,33.6134,-84.44894,4/27/2016,12/13/2018
1067264,The Chicken Hut  ,Combination Grocery/Other,5591,Riverdale Rd, ,Atlanta,GA,30349,6732,CLAYTON,33.60277,-84.43162,9/28/2012,5/21/2017
949231,Tweet Baby Tweet  ,Combination Grocery/Other,2051,Godby Rd, ,Atlanta,GA,30349,5192,CLAYTON,33.61561,-84.45596,6/8/2010,3/18/2013
913516,U S Amoco ,Convenience Store,5097,W Fayetteville Rd,,Atlanta,GA,30349,5409,CLAYTON,33.61646,-84.44992,12/1/2009,10/16/2020
913516,U S Amoco ,Convenience Store,5097,W Fayetteville Rd,,Atlanta,GA,30349,5409,CLAYTON,33.61646,-84.44992,5/4/2021, 
1060315,Wayfield Foods 3,Super Store,5432,Riverstation Blvd, ,Atlanta,GA,30349,9199,CLAYTON,33.6072,-84.44427,6/8/2012, 
1456478,Bharath Bazaar  ,Medium Grocery Store,2997,Cumberland Blvd SE,Ste 260,Atlanta,GA,30339,3190,COBB,33.88206,-84.4744,7/20/2021, 
923738,Costco Wholesale 0631,Super Store,2900,Cumberland Mall SE, ,Atlanta,GA,30339,8107,COBB,33.8806,-84.47122,10/30/2009, 
1020027,CVS PHARMACY 2086,Combination Grocery/Other,2014,Powers Ferry Rd SE,Ste 100,Atlanta,GA,30339,5042,COBB,33.90376,-84.46066,8/18/2011, 
1661508,DOLLARTREE 11011,Combination Grocery/Other,2955,Cobb Pkwy,Suite 330,Atlanta,GA,30339, ,COBB,33.8821,-84.46084,7/1/2025, 
1107045,JP Cobb Parkway 212,Convenience Store,2756,Cobb Pkwy Se, ,Atlanta,GA,30339,3125,COBB,33.88563,-84.47157,8/12/2013, 
373043,KROGER  207,Super Store,3300,Cobb Pkwy, ,Atlanta,GA,30339,3888,COBB,33.87247,-84.45653,9/26/1980,3/31/2025
563342,PUBLIX 536,Supermarket,2451,CUMBERLAND PKWY, ,ATLANTA,GA,30339, ,COBB,33.86254,-84.47752,2/29/1996, 
304235,QUIKTRIP 729,Convenience Store,2804,Paces Ferry Rd SE, ,Atlanta,GA,30339,3717,COBB,33.86573,-84.47066,3/2/2007,4/9/2008
304235,QUIKTRIP 729,Convenience Store,2804,Paces Ferry Rd SE, ,Atlanta,GA,30339,3717,COBB,33.86573,-84.47066,8/3/2010, 
1541600,Shell Food Mart  ,Convenience Store,4641,S Atlanta Rd SE,,Atlanta,GA,30339,1502,COBB,33.84093,-84.48479,4/10/2023, 
273665,Walgreen 19823,Combination Grocery/Other,2498,Cumberland Pkwy SE, ,Atlanta,GA,30339,4502,COBB,33.86478,-84.47679,8/1/2000, 
1169344,4480 Winters Inc  ,Medium Grocery Store,4480,Winters Chapel Rd, ,Atlanta,GA,30360,2718,DEKALB,33.9258,-84.26968,10/16/2014,5/7/2017
1487900,5-11 Food Mart  ,Convenience Store,4186,Buford Hwy NE,Ste E,Atlanta,GA,30345,1067,DEKALB,33.86513,-84.3047,2/22/2022,5/22/2023
812995,A & B DISCOUNT  ,Convenience Store,1278,Custer Ave SE, ,Atlanta,GA,30316,3202,DEKALB,33.71584,-84.34602,1/31/2008,9/10/2009
1110543,A & B Grocery Store 2,Small Grocery Store,3356,Chamblee Tucker Rd, ,Atlanta,GA,30341,4353,DEKALB,33.88558,-84.25553,9/17/2013,3/12/2014
971499,A G C Store  ,Convenience Store,1860,Memorial Drive, ,Atlanta,GA,30317, ,DEKALB,33.74743,-84.32666,9/18/2010,9/3/2013
989365,A To Z Grocery Store  ,Medium Grocery Store,4480,Winters Chapel Rd, ,Atlanta,GA,30360,2718,DEKALB,33.9258,-84.26968,2/11/2011,10/5/2014
926112,A&B FOOD MART  ,Combination Grocery/Other,154,Whitefoord Ave SE, ,Atlanta,GA,30317,1730,DEKALB,33.74913,-84.3422,12/7/2009,3/18/2013
1039187,Acapulco Grocery Store 1,Convenience Store,5268,Buford Hywy, ,Atlanta,GA,30340, ,DEKALB,33.89634,-84.2821,2/27/2012,3/18/2013
1055359,Acapulco Supermarket  ,Convenience Store,3363,Buford Hwy NE,Ste 960,Atlanta,GA,30329,3733,DEKALB,33.84373,-84.32774,7/12/2012,12/9/2014
937731,Adnan Shell  ,Convenience Store,3259,Buford Hwy NE, ,Atlanta,GA,30329,1707,DEKALB,33.84257,-84.32908,3/17/2010,1/16/2012
937731,Adnan Shell  ,Convenience Store,3259,Buford Hwy NE, ,Atlanta,GA,30329,1707,DEKALB,33.84257,-84.32908,12/23/2013,11/23/2018
1118365,Al Amin Investment LLC  ,Medium Grocery Store,5466,Buford Hwy NE, ,Atlanta,GA,30340,1126,DEKALB,33.90125,-84.27615,12/6/2013,2/25/2019
1361389,Al- Amin Supermarket & Restaurant  ,Large Grocery Store,5466,Buford Hwy NE, ,Atlanta,GA,30340,1126,DEKALB,33.90119,-84.27623,7/17/2019, 
1565463,Al-Falah Supermarket  ,Medium Grocery Store,4978,Buford Hwy,,Atlanta,GA,30341,3504,DEKALB,33.88714,-84.28837,10/24/2023, 
